Temperatur_K,Druck_bar,Lambda,Phi,EGR_Rate,Zuendverzug_s
700.0,70.0,3.5999999999999996,0.2777777777777778,0.09999999999999999,1.0689680100636323e-17
700.0,70.0,3.5999999999999996,0.2777777777777778,0.19999999999999998,8.030032134117302e-18
700.0,70.0,3.5999999999999996,0.2777777777777778,0.3,7.020317346337406e-18
700.0,70.0,3.5999999999999996,0.2777777777777778,0.39999999999999997,6.577300864265635e-18
700.0,70.0,3.5999999999999996,0.2777777777777778,0.49999999999999994,6.4545816010828045e-18
700.0,70.0,3.5999999999999996,0.2777777777777778,0.6,
700.0,70.0,4.066666666666666,0.24590163934426232,0.0,0.035301276297261326
700.0,70.0,4.066666666666666,0.24590163934426232,0.09999999999999999,1.1358357961720438e-17
700.0,70.0,4.066666666666666,0.24590163934426232,0.19999999999999998,8.531581453308829e-18
700.0,70.0,4.066666666666666,0.24590163934426232,0.3,7.45814213664468e-18
700.0,70.0,4.066666666666666,0.24590163934426232,0.39999999999999997,6.986883604191028e-18
700.0,70.0,4.066666666666666,0.24590163934426232,0.49999999999999994,
700.0,70.0,4.066666666666666,0.24590163934426232,0.6,
700.0,70.0,4.533333333333333,0.22058823529411764,0.0,0.05143949595067092
700.0,70.0,4.533333333333333,0.22058823529411764,0.09999999999999999,1.1989801104239213e-17
700.0,70.0,4.533333333333333,0.22058823529411764,0.19999999999999998,9.005240036441555e-18
700.0,70.0,4.533333333333333,0.22058823529411764,0.3,7.871652470574643e-18
700.0,70.0,4.533333333333333,0.22058823529411764,0.39999999999999997,
700.0,70.0,4.533333333333333,0.22058823529411764,0.49999999999999994,
700.0,70.0,4.533333333333333,0.22058823529411764,0.6,
700.0,70.0,5.0,0.2,0.0,0.07121294563594065
700.0,70.0,5.0,0.2,0.09999999999999999,1.2589613395646973e-17
700.0,70.0,5.0,0.2,0.19999999999999998,9.455200375106635e-18
700.0,70.0,5.0,0.2,0.3,
700.0,70.0,5.0,0.2,0.39999999999999997,
700.0,70.0,5.0,0.2,0.49999999999999994,
700.0,70.0,5.0,0.2,0.6,
700.0,90.0,0.8,1.25,0.0,0.001123962987055064
700.0,90.0,0.8,1.25,0.09999999999999999,4.480542593714236e-18
700.0,90.0,0.8,1.25,0.19999999999999998,3.374715456420865e-18
700.0,90.0,0.8,1.25,0.3,2.958129909333166e-18
700.0,90.0,0.8,1.25,0.39999999999999997,2.7786619753007668e-18
700.0,90.0,0.8,1.25,0.49999999999999994,2.7338252331322484e-18
700.0,90.0,0.8,1.25,0.6,2.801687908757854e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.0,0.0013463675349009321
700.0,90.0,1.2666666666666666,0.7894736842105263,0.09999999999999999,5.616232445482917e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.19999999999999998,4.224841901613473e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.3,3.6987684505068906e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.39999999999999997,3.470162535946005e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.49999999999999994,3.410094990949757e-18
700.0,90.0,1.2666666666666666,0.7894736842105263,0.6,3.490634611259696e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.0,0.0019112121396842037
700.0,90.0,1.7333333333333334,0.5769230769230769,0.09999999999999999,6.558114960055396e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.19999999999999998,4.930504413896409e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.3,4.31407505039479e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.39999999999999997,4.045132096580288e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.49999999999999994,3.972869905910669e-18
700.0,90.0,1.7333333333333334,0.5769230769230769,0.6,4.06443167497847e-18
700.0,90.0,2.2,0.45454545454545453,0.0,0.0034002621173955796
700.0,90.0,2.2,0.45454545454545453,0.09999999999999999,7.380763969733056e-18
700.0,90.0,2.2,0.45454545454545453,0.19999999999999998,5.547112623453302e-18
700.0,90.0,2.2,0.45454545454545453,0.3,4.85196857269423e-18
700.0,90.0,2.2,0.45454545454545453,0.39999999999999997,4.547984095364107e-18
700.0,90.0,2.2,0.45454545454545453,0.49999999999999994,4.465270734376659e-18
700.0,90.0,2.2,0.45454545454545453,0.6,4.566692423605126e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.0,0.006479886372348623
700.0,90.0,2.666666666666667,0.37499999999999994,0.09999999999999999,8.120497627886906e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.19999999999999998,6.1017246036754205e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.3,5.335911779666729e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.39999999999999997,5.0005224711609604e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.49999999999999994,4.9085221985105365e-18
700.0,90.0,2.666666666666667,0.37499999999999994,0.6,5.01893958352326e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.0,0.011720845807836828
700.0,90.0,3.1333333333333337,0.3191489361702127,0.09999999999999999,8.79825475149044e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.19999999999999998,6.609964282877857e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.3,5.779473160276791e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.39999999999999997,5.415375392111479e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.49999999999999994,5.3149353350027426e-18
700.0,90.0,3.1333333333333337,0.3191489361702127,0.6,5.4336754958592085e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.0,0.019549835715547956
700.0,90.0,3.5999999999999996,0.2777777777777778,0.09999999999999999,9.42741171370654e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.19999999999999998,7.081822682243881e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.3,6.1913379410538945e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.39999999999999997,5.8006341282990235e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.49999999999999994,5.692405911146072e-18
700.0,90.0,3.5999999999999996,0.2777777777777778,0.6,
700.0,90.0,4.066666666666666,0.24590163934426232,0.0,0.03025258958806107
700.0,90.0,4.066666666666666,0.24590163934426232,0.09999999999999999,1.0017130156254261e-17
700.0,90.0,4.066666666666666,0.24590163934426232,0.19999999999999998,7.524147605182059e-18
700.0,90.0,4.066666666666666,0.24590163934426232,0.3,6.577463112044576e-18
700.0,90.0,4.066666666666666,0.24590163934426232,0.39999999999999997,6.1618521520147e-18
700.0,90.0,4.066666666666666,0.24590163934426232,0.49999999999999994,
700.0,90.0,4.066666666666666,0.24590163934426232,0.6,
700.0,90.0,4.533333333333333,0.22058823529411764,0.0,0.04399527603284561
700.0,90.0,4.533333333333333,0.22058823529411764,0.09999999999999999,1.0574010663648193e-17
700.0,90.0,4.533333333333333,0.22058823529411764,0.19999999999999998,7.941875210955528e-18
700.0,90.0,4.533333333333333,0.22058823529411764,0.3,6.942144948089229e-18
700.0,90.0,4.533333333333333,0.22058823529411764,0.39999999999999997,6.503036798003608e-18
700.0,90.0,4.533333333333333,0.22058823529411764,0.49999999999999994,
700.0,90.0,4.533333333333333,0.22058823529411764,0.6,
700.0,90.0,5.0,0.2,0.0,0.060829454129817655
700.0,90.0,5.0,0.2,0.09999999999999999,1.1102995382443104e-17
700.0,90.0,5.0,0.2,0.19999999999999998,8.338702929605595e-18
700.0,90.0,5.0,0.2,0.3,7.288602881914642e-18
700.0,90.0,5.0,0.2,0.39999999999999997,
700.0,90.0,5.0,0.2,0.49999999999999994,
700.0,90.0,5.0,0.2,0.6,
750.0,30.0,0.8,1.25,0.0,0.0012484944356092684
750.0,30.0,0.8,1.25,0.09999999999999999,7.690347095117676e-18
750.0,30.0,0.8,1.25,0.19999999999999998,5.792319270468352e-18
750.0,30.0,0.8,1.25,0.3,5.0772970639372186e-18
750.0,30.0,0.8,1.25,0.39999999999999997,4.769260553571281e-18
750.0,30.0,0.8,1.25,0.49999999999999994,4.692303331841508e-18
750.0,30.0,0.8,1.25,0.6,4.808781976894032e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.0,0.0014877757542944507
750.0,30.0,1.2666666666666666,0.7894736842105263,0.09999999999999999,9.639630908356007e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.19999999999999998,7.251465635369092e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.3,6.3485197640186836e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.39999999999999997,5.956143440359793e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.49999999999999994,5.853044259743795e-18
750.0,30.0,1.2666666666666666,0.7894736842105263,0.6,5.99128145361083e-18
750.0,30.0,1.7333333333333334,0.5769230769230769,0.0,0.0019065811786149712
750.0,30.0,1.7333333333333334,0.5769230769230769,0.09999999999999999,1.125626623953409e-17
750.0,30.0,1.7333333333333334,0.5769230769230769,0.19999999999999998,8.462655918258617e-18
750.0,30.0,1.7333333333333334,0.5769230769230769,0.3,7.404624292481405e-18
750.0,30.0,1.7333333333333334,0.5769230769230769,0.39999999999999997,6.94301398071693e-18
750.0,30.0,1.7333333333333334,0.5769230769230769,0.49999999999999994,6.818984063262546e-18
750.0,30.0,1.7333333333333334,0.5769230769230769,0.6,6.976139534976437e-18
750.0,30.0,2.2,0.45454545454545453,0.0,0.0028346590320125066
750.0,30.0,2.2,0.45454545454545453,0.09999999999999999,1.2668250678811796e-17
750.0,30.0,2.2,0.45454545454545453,0.19999999999999998,9.520994513218453e-18
750.0,30.0,2.2,0.45454545454545453,0.3,8.327857985789352e-18
750.0,30.0,2.2,0.45454545454545453,0.39999999999999997,7.806102842694324e-18
750.0,30.0,2.2,0.45454545454545453,0.49999999999999994,7.664134667627994e-18
750.0,30.0,2.2,0.45454545454545453,0.6,7.838213582605503e-18
750.0,30.0,2.666666666666667,0.37499999999999994,0.0,0.004591647317736389
